ZipCode	Population	PersonsPerHousehold	AverageHouseValue	IncomePerHousehold	State	City	CountyName	popden	electricity (kWh)	Nat. Gas (cu.ft.)	FUELOIL (gallons)	Vehicle miles traveled	Transport (tCO2e/yr)	Housing (tCO2e/yr)	Food (tCO2e/yr)	Goods (tCO2e/yr)	Services (tCO2e/yr)	Total Household Carbon Footprint (tCO2e/yr)	HouseholdsPerZipCode	Total Zip Code Carbon Footprint (tCO2e/yr)
7026	29850	2.64	161500	42770	NJ	GARFIELD	BERGEN	13503.46951	7882.999783	65658.45911	118.8887938	17741	12.57985608	12.46529986	7.92	5.258274257	5.834832547	44.05826274	11726	516627.1889
7027	4153	2.4	181500	52571	NJ	GARWOOD	UNION	6292.920048	8877.005388	63779.53874	268.5556612	20796	14.92133482	15.05811116	7.2	5.800777912	6.670615189	49.65083908	1782	88477.79524
7028	7431	2.95	260900	104106	NJ	GLEN RIDGE	ESSEX	5722.743806	12502.28603	78704.71149	288.4690739	26185	20.19429592	18.76888839	8.85	9.293814382	11.15830705	68.26530574	2550	174076.5296
7029	16766	2.84	133700	41864	NJ	HARRISON	HUDSON	11576.5307	7974.566645	67478.04874	53.02302514	14404	10.4379782	11.79408511	8.52	5.271679746	5.766804723	41.79054779	6041	252456.6992
7030	38577	1.92	428900	62550	NJ	HOBOKEN	HUDSON	30236.59744	6368.264866	48898.85141	69.42740073	10238	8.959490326	9.701997396	5.76	6.268911539	7.509343105	38.19974237	19915	760747.8692
7031	15181	2.37	183300	51787	NJ	NORTH ARLINGTON	BERGEN	4977.669181	8623.152869	69581.96981	139.9696699	19434	14.05950936	13.51678094	7.11	5.739797734	6.601205199	47.02729324	6529	307041.1976
7032	40548	2.81	158200	47757	NJ	KEARNY	HUDSON	4498.445713	8636.743692	70679.34961	117.6463745	18059	12.93388875	13.32204468	8.43	5.638722594	6.27526599	46.59992201	13884	646993.3172
7033	7701	2.68	175900	59482	NJ	KENILWORTH	UNION	3584.576407	10397.99635	74077.35366	172.4949426	24187	17.21694295	15.43493085	8.04	6.340304421	7.282755848	54.31493406	2949	160174.7405
7034	9320	2.5	174300	60187	NJ	LAKE HIAWATHA	MORRIS	7831.827471	8254.907052	47188.6735	332.1700146	23161	16.65442161	14.27664124	7.5	6.331884959	7.335983653	52.09893145	3777	196777.6641
7035	10938	2.54	194100	68988	NJ	LINCOLN PARK	MORRIS	1600.951028	10160.57602	74090.96195	83.66178544	25274	18.3069037	14.10189541	7.62	6.903213457	8.098718098	55.03073066	4113	226341.3952
7036	40880	2.58	148600	45960	NJ	LINDEN	UNION	4123.285427	8628.489126	67076.91407	190.1178497	17737	12.72294013	14.03121002	7.74	5.441321173	6.107801012	46.04327234	16252	748295.262
7039	27264	2.94	290500	99494	NJ	LIVINGSTON	ESSEX	1932.917196	13784.31538	96656.38041	78.57106957	28513	21.43540465	17.9750756	8.82	9.001740497	10.75967357	67.99189432	9377	637559.993
7040	23829	2.81	222400	79683	NJ	MAPLEWOOD	ESSEX	7521.697203	10705.00954	79012.22214	225.7737151	20785	15.91000779	16.75323594	8.43	7.685309852	9.03835087	57.81690445	8603	497398.829
7041	6880	2.5	344200	84654	NJ	MILLBURN	ESSEX	2808.06355	10319.72641	80760.93242	109.1162903	21247	16.48335678	15.11609008	7.5	7.886023031	9.451441213	56.4369111	2809	158531.2833
7042	26897	2.47	271600	60962	NJ	MONTCLAIR	ESSEX	7241.864043	8083.559677	65492.83399	221.329249	16476	12.5897344	13.99706854	7.41	6.360120491	7.39994222	47.75686565	11075	528907.2871
7043	11915	2.69	344600	115498	NJ	MONTCLAIR	ESSEX	4670.847366	12319.36385	83485.20635	240.8381728	24588	19.73350208	18.37272037	8.07	9.945456028	12.13282358	68.25450205	4336	295951.5209
7044	13948	2.41	239200	74284	NJ	VERONA	ESSEX	4870.346406	10151.93084	72028.34794	195.8051601	22096	16.60165687	15.58097381	7.23	7.196244263	8.550319409	55.15919436	5948	328086.888
7045	10531	2.74	355700	100213	NJ	MONTVILLE	MORRIS	1287.639553	12431.27505	69177.82442	214.2561386	31667	23.44658732	17.0768035	8.22	8.990644302	10.81359386	68.54762898	3852	264045.4668
7046	4260	3.2	488900	141757	NJ	MOUNTAIN LAKES	MORRIS	1590.422817	14938.36314	79820.2451	400.0186909	35277	27.24792514	21.89933238	9.6	11.8039007	14.4308884	84.98204661	1359	115490.6013
7047	58108	2.7	162600	40844	NJ	NORTH BERGEN	HUDSON	11613.15723	7600.916994	56901.51605	125.9215185	13831	10.07814302	11.7710314	8.1	5.159829104	5.671778078	40.7807816	22017	897870.4685
7050	32868	2.73	131400	35759	NJ	ORANGE	ESSEX	14888.51282	7231.010101	60440.50611	155.3895016	11931	8.697561086	12.11111985	8.19	4.841008173	5.232727249	39.07241636	12665	494852.1532
7052	45106	2.65	209200	69115	NJ	WEST ORANGE	ESSEX	3713.187735	10380.84915	79252.17152	107.760412	20773	15.51224697	15.03245796	7.95	6.954244955	8.115939514	53.56488939	16993	910228.1655
7054	27616	2.53	238800	62106	NJ	PARSIPPANY	MORRIS	1951.522033	8736.03555	60804.55809	125.1928089	21363	15.62643507	12.8501309	7.59	6.454900712	7.502066466	50.02353314	11040	552259.8059
7055	67869	3.46	153000	33633	NJ	PASSAIC	PASSAIC	21720.21379	7394.645763	61991.4023	109.5849169	12247	8.613100693	11.73605159	10.38	4.965638731	5.0866285	40.78141951	20195	823580.767
7057	11583	2.44	201800	45656	NJ	WALLINGTON	BERGEN	11632.50795	7915.490466	66264.12026	96.79522319	17992	12.90469574	12.22054214	7.32	5.371794871	6.074222524	43.89125528	4906	215330.4984
7058	5207	2.77	356800	90286	NJ	PINE BROOK	MORRIS	1736.728966	11228.3906	68108.35017	195.5113031	27754	20.64884558	16.00087439	8.31	8.336412026	9.951850511	63.24798251	1930	122068.6062
7059	14219	3.05	427300	103825	NJ	WARREN	SOMERSET	724.4668858	14949.63807	85405.9151	157.2754653	34362	25.17760728	18.96003655	9.15	9.3222656	11.14073665	73.75064608	4705	346996.7898
7060	49040	2.96	166200	51406	NJ	PLAINFIELD	UNION	4398.566053	8856.896213	68964.55329	158.8659918	18790	13.48981121	13.85975943	8.88	5.929825465	6.599380993	48.7587771	16960	826948.8597
7062	13303	2.91	135500	52568	NJ	PLAINFIELD	UNION	6797.451479	9666.430144	78751.61952	170.8177343	19144	13.77592274	15.2192072	8.73	5.975720902	6.695794737	50.39664558	4776	240694.3793
7063	12153	3.28	133200	53373	NJ	PLAINFIELD	UNION	7009.123453	10509.84364	79108.26211	185.2126628	20249	14.38607956	15.94778905	9.84	6.1667181	6.785712219	53.12629892	3975	211177.0382
7064	3828	2.87	156000	59531	NJ	PORT READING	MIDDLESEX	2623.763428	11185.82071	81649.95388	112.0418207	25552	18.03201609	15.72029524	8.61	6.37918742	7.292188299	56.03368704	1354	75869.61226
7065	28446	2.63	142600	50729	NJ	RAHWAY	UNION	6550.231915	9067.017597	68520.67809	194.0385534	18048	13.09550854	14.49276422	7.89	5.76490454	6.523137303	47.7663146	10384	496005.4109
7066	14592	2.56	217500	65019	NJ	CLARK	UNION	3533.535533	10892.02508	75856.73855	144.9333335	25436	18.23978586	15.56136934	7.68	6.655932693	7.75625321	55.8933411	5708	319039.191
7067	18066	2.87	179700	67589	NJ	COLONIA	MIDDLESEX	4657.102584	11941.3806	82594.45132	137.5434476	25515	18.31415417	16.57796952	8.61	6.927905906	7.994252834	58.42428242	6356	371344.7391
7068	5309	2.48	292500	82323	NJ	ROSELAND	ESSEX	1485.23729	11384.2586	77089.36891	121.9428938	26588	19.67356047	15.79849801	7.44	7.736596392	9.249701225	59.8983561	2191	131237.2982
7070	18110	2.52	218300	63820	NJ	RUTHERFORD	BERGEN	7801.195724	9345.193177	71764.41614	181.2370786	19965	14.83382638	14.78397487	7.56	6.568349317	7.650926405	51.39707697	7214	370778.5132
7071	19383	2.46	182800	53375	NJ	LYNDHURST	BERGEN	4618.546384	8914.299169	72696.94733	119.1461153	19833	14.34545416	13.70806123	7.38	5.873762741	6.743313611	48.05059174	8103	389353.9449
7072	5917	2.47	201900	55058	NJ	CARLSTADT	BERGEN	1558.799432	8975.227961	74143.23479	110.8947873	20090	14.56992727	13.76369558	7.41	5.985224119	6.889490607	48.61833757	2473	120233.1488
7073	8716	2.35	196200	50163	NJ	EAST RUTHERFORD	BERGEN	1965.281086	7622.894399	58834.36503	102.9001007	17913	13.06289976	11.65731465	7.05	5.628544308	6.459615282	43.858374	3771	165389.9283
7074	2754	2.65	192900	50571	NJ	MOONACHIE	BERGEN	1603.590552	8895.037338	59942.83134	210.9381627	20898	14.83636938	13.95769426	7.95	5.761924473	6.510501284	49.0164894	1074	52643.70962
7075	7644	2.53	196800	60949	NJ	WOOD RIDGE	BERGEN	6936.831636	10205.94923	77282.56514	107.4656077	21592	15.7199756	14.77877279	7.59	6.380732277	7.401932118	51.87141279	3087	160127.0513
7076	19584	2.69	259000	78742	NJ	SCOTCH PLAINS	UNION	2328.218955	11578.66306	81559.03729	130.6592738	25625	18.88040277	16.26826113	8.07	7.582097623	8.950680569	59.75144209	7336	438336.5791
7077	2781	2.72	149000	61488	NJ	SEWAREN	MIDDLESEX	1858.706244	10395.9018	76193.18807	140.3300858	23475	16.83959926	15.20878979	8.16	6.497490749	7.460521547	54.16640134	1049	56820.55501
7078	12849	3.02	690800	185466	NJ	SHORT HILLS	ESSEX	1886.155422	17067.81034	117956.075	68.2470793	33426	27.93041211	21.43362988	9.06	14.54863944	18.2054445	91.17812592	4337	395439.5321
7079	17083	2.69	275100	82865	NJ	SOUTH ORANGE	ESSEX	4828.480545	11362.42573	86592.30932	218.3678674	20182	15.70034905	17.71329216	8.07	7.846398796	9.307511959	58.63755197	5716	335172.247
7080	21796	3.01	165800	67487	NJ	SOUTH PLAINFIELD	MIDDLESEX	2625.081913	11709.29129	86229.93303	105.0675094	26667	18.97900858	16.20619181	9.03	6.974980136	7.993212593	59.18339312	7302	432157.1366
7081	14630	2.38	250500	73100	NJ	SPRINGFIELD	UNION	3004.297398	10601.42796	80338.4078	91.16102973	22155	16.5979677	15.04513322	7.14	7.109622448	8.446290803	54.33901418	6350	345052.74
7082	4723	2.97	296200	93485	NJ	TOWACO	MORRIS	790.5133047	11984.15223	55388.67837	377.173086	33080	24.01021315	17.96987543	8.91	8.602242246	10.23753874	69.72986956	1619	112892.6588
7083	50766	2.72	174300	60487	NJ	UNION	UNION	5786.596266	10538.9492	80230.97936	134.5699527	20645	15.0637271	15.47680864	8.16	6.426174173	7.372850125	52.49956003	18536	973131.8448
7087	80589	2.78	154600	33132	NJ	UNION CITY	HUDSON	37599.30651	6816.803008	55725.76458	99.98178393	10008	7.394373657	10.78666856	8.34	4.690477671	5.007965321	36.21948521	29900	1082962.608
7088	3411	2.71	121600	43030	NJ	VAUXHALL	UNION	10014.76819	8636.321337	73495.60657	166.3110361	15065	10.96062237	14.16391622	8.13	5.253496182	5.854219645	44.36225441	1310	58114.55328
7090	32797	2.77	329500	98684	NJ	WESTFIELD	UNION	4314.536371	12169.38953	81030.14565	204.160887	26073	19.94630782	17.56296428	8.31	8.889054955	10.68074503	65.38907208	11963	782249.4693
7092	6602	2.6	346100	97195	NJ	MOUNTAINSIDE	UNION	1590.906626	12854.21189	88744.42598	137.999846	29405	21.97987727	17.64264406	7.8	8.732842734	10.54305139	66.69841546	2478	165278.6735
7093	56559	2.66	177000	34745	NJ	WEST NEW YORK	HUDSON	47629.1931	6806.264171	52500.05258	113.0993281	10486	7.785682582	10.73081886	7.98	4.750987294	5.141334887	36.38882363	22002	800626.8974
7094	15931	2.41	209400	59800	NJ	SECAUCUS	HUDSON	2854.92378	8743.991911	60859.37563	92.64123505	17928	13.4431893	12.489505	7.23	6.274908966	7.297817638	46.73542091	6385	298405.6625
7095	20298	2.48	152000	60600	NJ	WOODBRIDGE	MIDDLESEX	4416.486563	8950.739866	64984.54845	143.967668	20395	14.97217601	13.43488091	7.44	6.354785759	7.371208208	49.57305089	8341	413488.8175
7102	12408	2.14	133300	13421	NJ	NEWARK	ESSEX	10559.73938	5344.269936	47366.63115	132.1790999	6649	4.702172161	9.687568074	6.42	3.187451184	3.267262248	27.26445367	4989	136022.3593
7103	31455	2.81	107500	20591	NJ	NEWARK	ESSEX	14712.27918	7007.035906	56730.21249	152.017509	8656	6.044330182	11.86334952	8.43	3.897270816	3.924142646	34.15909317	11695	399490.5946
7104	51358	2.93	142900	28262	NJ	NEWARK	ESSEX	19949.40981	7018.41027	56792.01102	121.979194	11112	7.838567227	11.3220999	8.79	4.428329398	4.593752003	36.97274853	17642	652273.2296
7105	44391	2.88	138000	35044	NJ	NEWARK	ESSEX	8821.141329	7599.356097	63388.2479	74.44520468	12568	9.02066282	11.53350595	8.64	4.848786594	5.178633979	39.22158934	15945	625388.242
7106	33970	2.98	114200	32877	NJ	NEWARK	ESSEX	24157.97338	7889.902214	67368.97252	187.6166011	12208	8.681864865	13.4844107	8.94	4.749189114	4.996798462	40.85226314	12211	498846.9852
7107	35997	2.98	117200	25095	NJ	NEWARK	ESSEX	22523.02702	7047.713888	58153.312	162.055727	10134	7.092445915	12.00911226	8.94	4.246756876	4.322774109	36.61108916	13220	483998.5988
7108	25001	2.9	94900	19127	NJ	NEWARK	ESSEX	18153.24941	6836.627676	57100.06606	194.5091813	8893	6.107369785	12.258992	8.7	3.835590133	3.802111014	34.70406294	9704	336768.2267
7109	35900	2.6	147600	48608	NJ	BELLEVILLE	ESSEX	10783.75036	8298.017923	63960.0972	158.0828485	17961	12.96320526	13.1718109	7.8	5.61821719	6.338014587	45.89124794	14128	648351.5509
7110	27362	2.51	190500	59634	NJ	NUTLEY	ESSEX	8124.632733	9565.538397	71287.75458	153.6742503	20437	14.95901486	14.49867283	7.53	6.292861206	7.287604249	50.56815314	11118	562216.7266
7111	60727	2.74	112200	36590	NJ	IRVINGTON	ESSEX	20652.28111	7473.978468	62898.84882	180.9280263	12273	8.938880839	12.80260248	8.22	4.897852864	5.305166592	40.16450277	24123	968888.3004
7112	26986	2.82	123200	30392	NJ	NEWARK	ESSEX	17831.49089	7271.068182	60593.91817	244.0418617	11093	7.93983806	13.41158431	8.46	4.529129217	4.772904466	39.11345605	10751	420508.766
7114	11792	2.52	99800	14457	NJ	NEWARK	ESSEX	1685.010976	5955.271544	50824.17717	93.7450902	8533	5.777252266	9.942551944	7.56	3.425424136	3.381844486	30.08707283	3925	118091.7609
7201	27655	3.07	124800	33088	NJ	ELIZABETH	UNION	4283.334815	7690.804344	66155.87297	110.3368772	13923	9.727226549	12.2324748	9.21	4.787734407	5.018693951	40.9761297	8890	364277.7931
7202	37298	2.73	135500	35347	NJ	ELIZABETH	UNION	11020.9264	7402.315907	60963.06359	126.339523	14469	10.24968179	11.87807938	8.19	4.803874717	5.195512573	40.31714846	14034	565810.8615
7203	21274	2.82	129200	51254	NJ	ROSELLE	UNION	8048.842407	9091.303547	70611.27267	212.2536598	17757	12.88774209	14.83496506	8.46	5.866468795	6.578438412	48.62761436	7870	382699.325
7204	13255	2.59	157700	53989	NJ	ROSELLE PARK	UNION	10927.74989	8790.009494	64537.49054	200.5483121	19603	14.19521087	14.10713896	7.77	5.959587122	6.803202359	48.83513931	5235	255651.9543
7205	21737	3.04	135100	59014	NJ	HILLSIDE	UNION	7897.184378	10150.58089	79154.74917	198.0950751	20404	14.7736874	15.89194839	9.12	6.44254873	7.261461249	53.48964577	7385	395021.034
7206	23315	3.36	101900	30637	NJ	ELIZABETH	UNION	13727.79574	8295.587192	70140.82651	83.97895691	13616	9.357251241	12.5753291	10.08	4.741415161	4.822662558	41.57665806	7707	320431.3037
7208	32359	2.73	159700	39350	NJ	ELIZABETH	UNION	18086.91939	7482.961387	59027.52509	146.4992621	14930	10.67996461	12.00976524	8.19	5.081928539	5.545073381	41.50673177	12229	507585.8229
7302	31769	2.19	169200	45223	NJ	JERSEY CITY	HUDSON	20332.04289	6364.802308	53964.11704	72.4941321	9171	7.535074216	10.06943133	6.57	5.243960484	6.022211193	35.44067722	15020	532318.9719
7304	42323	2.88	109700	31685	NJ	JERSEY CITY	HUDSON	21957.32115	6986.473708	58926.8983	176.0785447	10482	7.601174055	12.19978092	8.64	4.633460948	4.887924146	37.96234007	15596	592060.6557
7305	58542	2.87	131500	38169	NJ	JERSEY CITY	HUDSON	9987.992298	7833.20129	65471.67331	164.5136071	12436	9.069275533	13.07798704	8.61	5.045537694	5.448572753	41.25137302	21387	882243.1148
7306	54912	2.64	117700	34808	NJ	JERSEY CITY	HUDSON	20185.00718	6580.556393	56639.49691	159.6774523	9882	7.417080091	11.48603927	7.92	4.755025852	5.146787319	36.72493254	21333	783452.9858
7307	46093	2.84	125400	38720	NJ	JERSEY CITY	HUDSON	16960.69672	7364.44954	62492.80464	139.7244111	11929	8.787699742	12.21407473	8.52	5.070136479	5.494702396	40.08661334	16902	677543.9387
7310	6416	1.95	33400	72076	NJ	JERSEY CITY	HUDSON	11244.89546	5581.799761	25932.55489	36.69643157	10486	9.489427136	7.206496094	5.85	6.893863884	8.335862127	37.77564924	3410	128814.9639
7401	6674	3.03	421200	105387	NJ	ALLENDALE	BERGEN	2151.198921	13931.61146	98014.04674	88.9056123	29792	22.43808367	14.86822894	9.09	9.411673623	11.27436485	67.08235108	2133	143086.6549
7403	7567	2.63	176900	68462	NJ	BLOOMINGDALE	PASSAIC	1178.857831	10032.56302	69486.84804	140.9844912	26942	19.28742381	14.52820577	7.89	6.901662413	8.057867121	56.66515911	2924	165688.9252
7405	16771	2.83	261600	76750	NJ	BUTLER	MORRIS	833.7705769	11844.5021	67512.16415	266.3529742	30062	21.49145869	17.24101402	8.49	7.504440928	8.785548198	63.51246183	6041	383678.7819
7407	18925	2.66	184100	52319	NJ	ELMWOOD PARK	BERGEN	7126.91942	9146.715986	71276.68573	140.7583421	20773	14.82798351	14.00035679	7.98	5.877552616	6.662303805	49.34819673	7242	357379.6407
7410	31637	2.67	218000	72127	NJ	FAIR LAWN	BERGEN	6145.326273	10943.8158	80720.30188	131.9405677	23009	17.00746393	15.71675995	8.01	7.150900671	8.377136864	56.26226142	12006	675484.7106
7416	5780	2.71	128600	46885	NJ	FRANKLIN	SUSSEX	651.5217542	7890.039121	29001.9236	447.8732216	24955	17.16617	14.43702383	8.13	5.547081927	6.194605735	51.47488148	2216	114068.3374
7417	10422	3.13	609400	132373	NJ	FRANKLIN LAKES	BERGEN	1102.9204	16728.06496	107575.0578	94.21216239	38797	29.04927936	16.77829858	9.39	11.17732856	13.61510148	80.01000798	3395	271633.9771
7418	2751	3.27	162600	82055	NJ	GLENWOOD	SUSSEX	446.5355271	11076.82685	18817.97536	602.1252179	36657	25.62926673	17.80129528	9.81	8.026796821	9.271155122	70.53851395	864	60945.27605
7419	7165	2.63	139700	60396	NJ	HAMBURG	SUSSEX	379.5040483	9002.836818	42076.64856	270.081892	27694	19.43743491	13.69079542	7.89	6.363153663	7.356667716	54.73805171	2895	158466.6597
7420	4767	2.95	144600	60428	NJ	HASKELL	PASSAIC	1869.471881	10539.31042	80020.21533	103.5382297	26772	18.75064829	14.99114615	8.85	6.529617727	7.383318891	56.50473106	1585	89559.99873
7421	7639	2.85	149900	67229	NJ	HEWITT	PASSAIC	301.3709439	8753.427961	28630.34897	405.3481244	28901	20.38958858	12.21503004	8.55	6.894105863	7.961538578	56.01026306	3098	173519.795
7422	7177	2.95	137900	67222	NJ	HIGHLAND LAKES	SUSSEX	467.1205271	9068.386121	21006.258	477.2616462	28374	20.03921942	15.00679409	8.85	6.929399033	7.966124423	58.79153697	2944	173082.2848
7423	4060	2.82	456600	129900	NJ	HO HO KUS	BERGEN	2351.198387	14026.73043	98366.67105	91.52774617	31047	24.26320108	18.40217226	8.46	10.90799926	13.38497771	75.4183503	1465	110487.8832
7424	21842	2.4	203900	59611	NJ	LITTLE FALLS	PASSAIC	3819.649317	9328.396691	71010.17471	101.1248975	21286	15.50881913	13.62190077	7.2	6.252070723	7.27990284	49.86269347	9294	463423.8731
7428	127	2.31	89400	56500	NJ	MC AFEE	SUSSEX	6407.992331	7262.926936	53050.74494	489	13668	10.92046223	9.830734952	6.93	5.748836755	6.966527347	40.39656128	88	3554.897393
7430	24062	2.43	334100	79500	NJ	MAHWAH	BERGEN	927.3908324	10730.05707	76489.82745	47.83986661	24733	18.43088229	11.56554689	7.29	7.537759589	9.002784503	53.82697326	9577	515500.923
7432	6947	2.65	256500	76462	NJ	MIDLAND PARK	BERGEN	4439.491085	11120.06179	81938.22229	107.2636348	25922	18.98073198	15.61600205	7.95	7.421643533	8.751277786	58.71965534	2650	155607.0867
7435	2155	2.68	222200	79762	NJ	NEWFOUNDLAND	PASSAIC	225.3977329	10536.13036	30830.50823	456.3394199	28890	20.95340566	13.77458528	8.04	7.615316089	9.034285538	59.41759257	982	58348.0759
7436	12466	2.88	245300	86629	NJ	OAKLAND	BERGEN	1448.404118	12844.81006	89535.56304	110.1227553	30412	22.09542308	14.06396813	8.64	8.155596208	9.643137316	62.59812473	4345	271988.8519
7438	11901	2.85	197000	75813	NJ	OAK RIDGE	PASSAIC	371.5491216	10033.11383	28621.84041	505.6692969	31766	22.4988316	16.53681324	8.55	7.447949583	8.704973256	63.73856768	4291	273502.1939
7439	2650	3	142000	60688	NJ	OGDENSBURG	SUSSEX	1050.458476	9268.644442	19706.2256	615.21674	30159	20.8550846	16.9605197	9	6.531988032	7.403744324	60.75133665	906	55040.71101
7440	4661	2.82	234000	65856	NJ	PEQUANNOCK	MORRIS	2794.518643	12002.99419	84251.95553	83.6072611	27063	19.21661624	16.05736676	8.46	6.788219995	7.840114341	58.36231734	1675	97756.88155
7442	10908	2.69	179800	65659	NJ	POMPTON LAKES	PASSAIC	3639.43077	10499.30397	75136.02143	105.5010572	25017	17.97356895	14.73580533	8.07	6.74342378	7.818392168	55.34119023	4040	223578.4085
7444	9227	2.73	252600	76854	NJ	POMPTON PLAINS	MORRIS	1708.947387	11539.7574	77155.01053	131.6805425	27328	19.83486128	15.9113315	8.19	7.482514235	8.790395702	60.20910272	3422	206035.5495
7446	14379	2.68	330100	88318	NJ	RAMSEY	BERGEN	2577.40182	11991.24372	87584.32527	68.49594089	26291	19.68216026	13.16312533	8.04	8.192384223	9.778931082	58.8566009	5411	318473.0675
7450	24936	2.87	387200	104286	NJ	RIDGEWOOD	BERGEN	4295.795939	12409.72465	88181.44652	146.1403767	25682	19.90801147	17.44453626	8.61	9.28390798	11.17077043	66.41722614	8802	584604.4244
7452	11546	2.89	316900	104192	NJ	GLEN ROCK	BERGEN	4246.140833	13128.82883	94879.92995	94.39700767	27579	21.0652895	17.59120859	8.67	9.285030575	11.16367339	67.77520205	4024	272727.4131
7456	12396	3	193400	81636	NJ	RINGWOOD	PASSAIC	494.8304469	12521.57676	74106.93389	227.7525761	33754	23.91662665	14.43832173	9	7.878414752	9.21724044	64.45060357	4221	272045.9977
